Sample	Query	Marker	Start_pos	End_pos	Taxonomy	Abundance	iNode	E-value	LWR	EvoDist	Distances	CuMMO
SI072_100m_pe	k147_73233_2	XmoA	1	63	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosospira; s__Nitrosospira multiformis	0.0	16	3.4e-27	0.5583269028	0.0705	0.0308,0.0397,0.0	AmoA_AOB
SI072_100m_pe	k147_299367_1	XmoA	6	253	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosospira	18354.793095432786	16	9.6e-109	1.0	0.0994	0.0472,0.0522,0.0	AmoA_AOB
SI072_100m_pe	k147_218723_3	XmoA	1	247	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__OPU3-GD-OMZ; s__OPU3-GD-OMZ sp001901525	2378.1298860582506	104	4e-122	1.0	0.004	0.0001,0.004,0.0	PmoA
SI072_100m_pe	k147_38346_11	XmoA	1	247	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__OPU3-GD-OMZ; s__OPU3-GD-OMZ sp001901525	3690.2015473317683	104	4e-122	1.0	0.004	0.0001,0.004,0.0	PmoA
SI072_100m_pe	k147_277768_4	XmoA	1	247	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methyloprofundus; s__Methyloprofundus sp.	0.0	117	4.3e-125	1.0	0.0454	0.0144,0.0309,0.0	PmoA
SI072_100m_pe	k147_222487_2	XmoA	5	131	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales	0.0	29	6.4e-51	0.8073166339	0.1051	0.0296,0.0409,0.0346	PxmA
SI072_100m_pe	k147_454285_2	XmoA	1	247	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__OPU3-GD-OMZ; s__OPU3-GD-OMZ sp001901525	3608.197068502174	104	1.1e-122	1.0	0.0121	0.0043,0.0078,0.0	PmoA
SI072_100m_pe	k147_372277_2	XmoA	1	159	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methyloprofundus; s__Methyloprofundus sp.	0.0	117	1.4e-76	1.0	0.0389	0.0037,0.0352,0.0	PmoA
SI072_100m_pe	k147_519870_3	XmoA	6	253	r__Root; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosospira	16812.990475416427	16	9.6e-109	1.0	0.0994	0.0472,0.0522,0.0	AmoA_AOB
SI072_100m_pe	k147_449783_3	XmoA	1	247	r__Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__OPU3-GD-OMZ; s__OPU3-GD-OMZ sp001901525	1394.0761401031127	104	2.5e-122	1.0	0.0002	0.0001,0.0001,0.0	PmoA
